agent_x,agent_y,agent_vx,agent_vy,agent_heading,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,car1_rel_x,car1_rel_y,car1_rel_vx,car1_rel_vy,car2_rel_x,car2_rel_y,car2_rel_vx,car2_rel_vy,car3_rel_x,car3_rel_y,car3_rel_vx,car3_rel_vy,car4_rel_x,car4_rel_y,car4_rel_vx,car4_rel_vy,car5_rel_x,car5_rel_y,car5_rel_vx,car5_rel_vy,ped1_rel_x,ped1_rel_y,ped2_rel_x,ped2_rel_y,ped3_rel_x,ped3_rel_y,ped4_rel_x,ped4_rel_y,ped5_rel_x,ped5_rel_y,tl_red,tl_yellow,tl_green,tl_ttc,temperature,traffic_density,pedestrian_density,driver_impatience,npc_color,npc_size,roughness,action_accel,action_steer,reward,done
550.0,270.0,0.0,0.0,3.1415927,53.75,61.875,78.125,135.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,135.0,78.125,61.875,110.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,-270.0,-330.0,0.0,0.0,-150.0,-20.0,-150.0,-20.0,-300.0,-70.0,-300.0,-70.0,-300.0,-70.0,1.0,0.0,0.0,0.0,-10,1,1,0.24352552685181195,68,3,0.0,-2.057577610015869,-0.011922855861485004,0.10000000149011612,0
550.0,270.0,0.0,0.0,3.1404004,53.75,61.875,78.125,135.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,135.0,78.125,61.875,109.79602,0.0,-0.2039526,-2.497699e-17,169.81464,0.0,-0.18536094,-2.2700169e-17,169.84894,0.0,-0.1510553,-1.849894e-17,169.8628,0.0,-0.13722847,-1.6805642e-17,-270.0,-329.83337,1.02039114e-17,0.16664252,-150.5,-20.0,-150.5,-20.0,-300.0,-69.5,-300.0,-69.5,-300.0,-69.5,1.0,0.0,0.0,0.033333335,-10,1,1,0.24352552685181195,68,3,0.0,1.3267160654067993,-0.8851590156555176,0.1599999964237213,0
549.70123,269.9731,-0.29879364,-0.026876373,3.0518844,53.75,53.75,70.0,110.625,200.0,200.0,200.0,200.0,151.25,200.0,200.0,200.0,200.0,175.625,86.25,61.875,109.68689,0.026885986,-0.4079052,-4.995398e-17,169.74268,0.026885986,-0.37072188,-4.5400337e-17,169.84558,0.026885986,-0.3021106,-3.699788e-17,169.88708,0.026885986,-0.27445695,-3.3611283e-17,-269.70123,-329.47318,2.0407823e-17,0.33328503,-150.70123,-19.973114,-150.70123,-19.973114,-299.70123,-68.973114,-299.70123,-68.973114,-299.70123,-68.973114,1.0,0.0,0.0,0.06666667,-10,1,1,0.24352552685181195,68,3,0.0,0.3787907361984253,-0.23354007303714752,0.18272744119167328,0
549.2902,269.92645,-0.41099623,-0.046667155,3.0285304,53.75,53.75,70.0,110.625,200.0,200.0,200.0,200.0,151.25,200.0,200.0,200.0,200.0,183.75,86.25,61.875,109.48602,0.07354736,-0.6118578,-7.493096e-17,169.5976,0.07354736,-0.55608284,-6.810051e-17,169.8034,0.07354736,-0.45316592,-5.5496818e-17,169.88641,0.07354736,-0.4116854,-5.0416923e-17,-269.29022,-328.9266,3.0611734e-17,0.49992755,-150.79022,-19.926453,-150.79022,-19.926453,-299.29022,-68.42645,-299.29022,-68.42645,-299.29022,-68.42645,1.0,0.0,0.0,0.1,-10,1,1,0.24352552685181195,68,3,0.0,1.5482265949249268,1.5990866422653198,0.24272744357585907,0
548.57666,269.91714,-0.7135763,-0.009321403,3.1285305,53.75,61.875,78.125,135.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,143.125,78.125,61.875,109.38379,0.082855225,-0.8158104,-9.990796e-17,169.5697,0.082855225,-0.7414438,-9.080068e-17,169.91272,0.082855225,-0.6042212,-7.399576e-17,170.05109,0.082855225,-0.5489139,-6.7222566e-17,-268.57666,-328.25073,4.0815646e-17,0.66657007,-150.57666,-19.917145,-150.57666,-19.917145,-298.57666,-67.917145,-298.57666,-67.917145,-298.57666,-67.917145,1.0,0.0,0.0,0.13333334,-10,1,1,0.24352552685181195,68,3,0.0,-0.5140237212181091,0.10311038047075272,0.23039087653160095,0
547.9247,269.91534,-0.6519519,-0.0017936261,3.1388414,53.75,61.875,78.125,143.125,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,143.125,78.125,61.875,109.01599,0.08465576,-1.019763,-1.2488495e-16,169.29486,0.08465576,-0.9268048,-1.1350085e-16,169.80945,0.08465576,-0.75527656,-9.24947e-17,170.0169,0.08465576,-0.6861424,-8.402821e-17,-267.92468,-327.4157,5.1019554e-17,0.83321255,-150.42468,-19.915344,-150.42468,-19.915344,-297.92468,-67.415344,-297.92468,-67.415344,-297.92468,-67.415344,1.0,0.0,0.0,0.16666667,-10,1,1,0.24352552685181195,68,3,0.0,-0.009239470586180687,-0.8408796191215515,0.2301691472530365,0
547.2763,269.8589,-0.6483932,-0.05644786,3.0547535,53.75,61.875,70.0,118.75,200.0,200.0,200.0,200.0,151.25,200.0,200.0,200.0,200.0,175.625,86.25,61.875,108.440674,0.14111328,-1.2237155,-1.4986193e-16,169.09863,0.14111328,-0.8446108,-1.0343499e-16,169.55151,0.14111328,-0.9063319,-1.1099365e-16,169.84192,0.14111328,-0.8233709,-1.0083385e-16,-267.2763,-326.3594,6.122346e-17,0.99985504,-150.2763,-19.858887,-150.2763,-19.858887,-297.2763,-66.85889,-297.2763,-66.85889,-297.2763,-66.85889,1.0,0.0,0.0,0.2,-10,1,1,0.24352552685181195,68,3,0.0,-0.6577495336532593,0.10254144668579102,0.21438315510749817,0
546.70605,269.81512,-0.57023937,-0.04375735,3.0650077,53.75,61.875,78.125,118.75,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,175.625,86.25,61.875,107.58325,0.18487549,-1.4276681,-1.7483892e-16,168.63892,0.18487549,-1.0299717,-1.2613516e-16,169.06439,0.18487549,-1.0573872,-1.2949258e-16,169.4516,0.18487549,-0.96059936,-1.176395e-16,-266.70605,-325.14914,7.142738e-17,1.1664976,-150.20605,-19.815125,-150.20605,-19.815125,-296.70605,-66.315125,-296.70605,-66.315125,-296.70605,-66.315125,1.0,0.0,0.0,0.23333333,-10,1,1,0.24352552685181195,68,3,0.0,-0.23854166269302368,-0.24989651143550873,0.2086581587791443,0
546.1656,269.76004,-0.5404905,-0.055089712,3.040018,61.875,61.875,70.0,118.75,200.0,200.0,200.0,200.0,151.25,200.0,200.0,200.0,200.0,191.875,86.25,61.875,106.49213,0.23995972,-1.6316206,-1.998159e-16,168.24078,0.23995972,-0.9386283,-1.1494882e-16,168.39642,0.23995972,-1.2084426,-1.4799153e-16,168.89423,0.23995972,-1.0978278,-1.3444513e-16,-266.1656,-323.76093,8.163129e-17,1.3331401,-150.16559,-19.76004,-150.16559,-19.76004,-296.1656,-65.76004,-296.1656,-65.76004,-296.1656,-65.76004,1.0,0.0,0.0,0.26666668,-10,1,1,0.24352552685181195,68,3,0.0,-0.36967581510543823,1.1695228815078735,0.19978593289852142,0
545.6667,269.75925,-0.49892905,-0.0007856267,3.140018,61.875,61.875,78.125,143.125,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,143.125,78.125,61.875,105.15546,0.24075317,-1.8355732,-2.2479288e-16,167.53583,0.24075317,-1.3594979,-1.6649048e-16,167.88428,0.24075317,-0.8553857,-1.04754537e-16,168.39026,0.24075317,-1.002899,-1.2281971e-16,-265.6667,-322.26035,9.1835206e-17,1.4997827,-150.16669,-19.759247,-150.16669,-19.759247,-295.6667,-65.25925,-295.6667,-65.25925,-295.6667,-65.25925,1.0,0.0,0.0,0.3,-10,1,1,0.24352552685181195,68,3,0.0,1.0131293535232544,0.4628330171108246,0.2597859501838684,0
